Data,Tipo,Nome,Respostas
01/09,Agência Reg,Anatel,359
01/09,Agência Reg,ANS,147
01/09,Agência Reg,ANTT,122
01/09,Agência Reg,Ana,70
01/09,Agência Reg,Ancine,46
01/09,Agência Reg,Antaq,36
01/09,Agência Reg,ANM,24
01/09,Agência Reg,Aneel,17
01/09,Agência Reg,Anvisa,14
01/09,Agência Reg,ANP,3
01/09,Agência Reg,Anac,1
01/09,Autarquia Des. Reg,Suframa,134
01/09,Autarquia Des. Reg,Sudam,100
01/09,Autarquia Des. Reg,Sudeco,35
01/09,Autarquia Des. Reg,Sudene,25
01/09,Com. Forças Armadas,Comaer,203
01/09,Com. Forças Armadas,Cex,38
01/09,Com. Forças Armadas,CMar,4
01/09,Ent C e T,CNEN,123
01/09,Ent C e T,AEB,56
01/09,Ent C e T,CNPq,49
01/09,Ent Economia,IBGE,1896
01/09,Ent Economia,INSS,1083
01/09,Ent Economia,INPI,393
01/09,Ent Economia,IPEA,66
01/09,Ent Economia,Funpresp-Exe,65
01/09,Ent Economia,Enap,38
01/09,Ent Economia,Fundacentro,31
01/09,Ent Economia,CVM,27
01/09,Ent Economia,Inmetro,8
01/09,Ent Economia,Susep,6
01/09,Ent Economia,Previc,2
01/09,Ent Educação,Fundaj,51
01/09,Ent Educação,Capes,37
01/09,Ent Educação,Inep,0
01/09,Ent Educação,FNDE,0
01/09,Ent Meio Ambiente,ICMBio,189
01/09,Ent Meio Ambiente,Ibama,181
01/09,Ent Meio Ambiente,JBRJ,14
01/09,Ent Saúde,Fiocruz,408
01/09,Ent Saúde,Funasa,216
01/09,Ent Turismo,Iphan,177
01/09,Ent Turismo,Funarte,35
01/09,Ent Turismo,Ibram,32
01/09,Ent Turismo,FBN,2
01/09,Ent Turismo,FCP,0
01/09,Ent Turismo,FCRB,0
01/09,Inst Fed e Col,IFCE,657
01/09,Inst Fed e Col,CEFET-MG,526
01/09,Inst Fed e Col,IFS,359
01/09,Inst Fed e Col,IFAL,265
01/09,Inst Fed e Col,IFRS,250
01/09,Inst Fed e Col,IFMA,207
01/09,Inst Fed e Col,IFAP,190
01/09,Inst Fed e Col,IGMGSE,147
01/09,Inst Fed e Col,IFB,129
01/09,Inst Fed e Col,IFMS,120
01/09,Inst Fed e Col,IFC,111
01/09,Inst Fed e Col,IFPR,110
01/09,Inst Fed e Col,CP II,105
01/09,Inst Fed e Col,IFSPE,102
01/09,Inst Fed e Col,IF Baiano,98
01/09,Inst Fed e Col,IFAM,93
01/09,Inst Fed e Col,IFTRAIMG,90
01/09,Inst Fed e Col,IFNMG,89
01/09,Inst Fed e Col,IFBA,85
01/09,Inst Fed e Col,IF GOIANO,73
01/09,Inst Fed e Col,IFGO,66
01/09,Inst Fed e Col,IFSul,63
01/09,Inst Fed e Col,IFTO,21
01/09,Inst Fed e Col,IFSPE,20
01/09,Inst Fed e Col,IFRR,19
01/09,Inst Fed e Col,IFES,17
01/09,Inst Fed e Col,IFSuldeMinas,13
01/09,Inst Fed e Col,IFSC,11
01/09,Inst Fed e Col,IFMG,11
01/09,Inst Fed e Col,IFRO,11
01/09,Inst Fed e Col,CEFET-RJ,10
01/09,Inst Fed e Col,IFPE,4
01/09,Inst Fed e Col,IFRN,4
01/09,Inst Fed e Col,IFFAR,4
01/09,Inst Fed e Col,IFRJ,2
01/09,Inst Fed e Col,IFPI,1
01/09,Inst Fed e Col,IFFLU,1
01/09,Inst Fed e Col,IFPA,1
01/09,Inst Fed e Col,IFMT,0
01/09,Inst Fed e Col,IFAC,0
01/09,Inst Fed e Col,IFPB,0
01/09,Ministérios,MJSP,1342
01/09,Ministérios,ME,996
01/09,Ministérios,MAPA,762
01/09,Ministérios,CGU,516
01/09,Ministérios,MS,369
01/09,Ministérios,MRE,329
01/09,Ministérios,MINFRA,301
01/09,Ministérios,AGU,278
01/09,Ministérios,MEC,232
01/09,Ministérios,MCid,157
01/09,Ministérios,MD,128
01/09,Ministérios,MMFDH,128
01/09,Ministérios,MTur,96
01/09,Ministérios,MDR,66
01/09,Ministérios,MMA,42
01/09,Ministérios,SGPR,34
01/09,Ministérios,MCTI,15
01/09,Ministérios,MME,4
01/09,Ministérios,SEGOV,3
01/09,Ministérios,BACEN,3
01/09,Ministérios,MCOM,3
01/09,Ministérios,CC,2
01/09,Ministérios,GSI,2
01/09,Ent Outras,DNIT,530
01/09,Ent Outras,ITI,74
01/09,Ent Outras,CADE,41
01/09,Ent Outras,DNOCS,33
01/09,Ent Outras,FUNAG,17
01/09,Ent Outras,INCRA,3
01/09,Ent Outras,FUNAI,2
01/09,Universidades,UFRN,684
01/09,Universidades,UFES,437
01/09,Universidades,UFC,413
01/09,Universidades,UFGRS,408
01/09,Universidades,UFAL,371
01/09,Universidades,UNIPAMPA,337
01/09,Universidades,UFCG,325
01/09,Universidades,FURG,305
01/09,Universidades,UTFPR,301
01/09,Universidades,UFPB,290
01/09,Universidades,UFRRJ,273
01/09,Universidades,UNIFESP,233
01/09,Universidades,UFF,233
01/09,Universidades,UNIFEI,220
01/09,Universidades,UFAM,213
01/09,Universidades,UNB,213
01/09,Universidades,UFPR,200
01/09,Universidades,UFSCAR,193
01/09,Universidades,UFOP,189
01/09,Universidades,UFVJM,184
01/09,Universidades,UFSC,179
01/09,Universidades,UFPA,170
01/09,Universidades,UFRB,161
01/09,Universidades,UFRPE,139
01/09,Universidades,UFPI,136
01/09,Universidades,UFCA,133
01/09,Universidades,UFS,126
01/09,Universidades,UFERSA,118
01/09,Universidades,UFAPE,118
01/09,Universidades,UFCSPA,115
01/09,Universidades,UFU,106
01/09,Universidades,UFRR,87
01/09,Universidades,UFRJ,80
01/09,Universidades,UFABC,78
01/09,Universidades,UFOB,77
01/09,Universidades,UFMS,77
01/09,Universidades,UFESSPA,62
01/09,Universidades,UFGD,61
01/09,Universidades,UFTM,57
01/09,Universidades,UFT,55
01/09,Universidades,UFR,55
01/09,Universidades,UFPEL,39
01/09,Universidades,UFOPA,38
01/09,Universidades,UNIVASF,30
01/09,Universidades,UFJ,26
01/09,Universidades,UFAC,25
01/09,Universidades,UFESBA,22
01/09,Universidades,UFV,21
01/09,Universidades,UFDPAR,21
01/09,Universidades,UNILA,17
01/09,Universidades,UFCAT,17
01/09,Universidades,UFMA,13
01/09,Universidades,UFLA,10
01/09,Universidades,UNIR,8
01/09,Universidades,UNILAB,7
01/09,Universidades,UFMT,5
01/09,Universidades,UFSM,5
01/09,Universidades,UFJF,4
01/09,Universidades,FUNREI,3
01/09,Universidades,UFG,2
01/09,Universidades,UNIRIO,2
01/09,Universidades,UFBA,2
01/09,Universidades,UFPE,1
01/09,Universidades,UFMG,1
01/09,Universidades,UFRA,1
01/09,Universidades,UNIFAP,0
01/09,Universidades,UNIFAL,0
01/09,Universidades,UFSS,0
